,Item,Data_do_lancamento,Entradas_Qtd,Entradas_Valor,Saidas_Qtd,Saidas_Valor,Saldo_Inicial_Qtd,Saldo_Inicial_Valor,Saldo_Final_Qtd,Saldo_Final_Valor
198,82.81.160-5,13/08/2012,"3564,3576000000003","7438,99","5875,122799999999","12261,669999999998","6507,5666","13586,839999999993","4196,801400000002","8764,159999999996"
199,61.21.107-1,13/08/2012,"0,0","0,0","24,0","4572,9400000000005","439,0","84236,67999999996","415,0","79663,73999999996"
200,62.51.311-0,13/08/2012,"1,0","98,34","64,0","6437,63","1535,0","155531,90000000002","1472,0","149192,61000000002"
201,63.41.311-9,13/08/2012,"0,0","0,0","28,0","2165,54","885,0","69274,50000000001","857,0","67108,96000000002"
202,66.31.174-0,13/08/2012,"0,0","0,0","20,0","1894,5700000000002","373,0","35968,270000000004","353,0","34073,700000000004"
203,69.51.202-0,13/08/2012,"0,0","0,0","5,0","1433,6000000000001","257,0","74164,88","252,0","72731,28"
204,70.25.162-0,13/08/2012,"137,0","28776,78","3,0","636,56","294,0","63364,979999999996","428,0","91505,2"
205,71.15.272-3,13/08/2012,"0,0","0,0","4,0","957,63","55,0","13794,559999999996","51,0","12836,929999999997"
206,76.26.200-4,13/08/2012,"24,0","6837,01","8,0","2297,38","235,0","67906,27","251,0","72445,9"
207,77.33.242-1,13/08/2012,"8,0","6153,28","6,0","4659,299999999999","217,0","168569,96999999997","219,0","170063,94999999998"
208,10.01.206-6,13/08/2012,"902,4398","1790,34","1076,7713","2122,4700000000003","1951,0412000000006","3610,089999999999","1776,7097000000006","3277,959999999998"
209,47.05.018-9,13/08/2012,"150,0","1973,3","0,0","0,0","7,0","94,10999999999922","157,0","2067,409999999999"
210,47.11.014-9,13/08/2012,"0,0","1742,4","408,0","290,74","1488,0","14668,99","1080,0","16120,65"
211,JVB-301-01,13/08/2012,"0,0","0,0","80,0","490,95","1505,0","9503,330000000002","1425,0","9012,380000000001"
212,41.01.053-3,13/08/2012,"0,0","0,0","44,0","5,26","25798,0","3087,6400000000003","25754,0","3082,38"
